Район;Тип н п;Наименование нас пункта;Наименование;Адрес;ИНН;Контакты;Широта;Долгота;Тип учреждения;Тип подключения (сущ);Скорость подключения (сущ);Тип подключения (план);Скорость подключения (план)
Кизлярский район;Село;Ефимовка;МКОУ Ефимовская ООШ ;Республика Дагестан, Кизлярский район, с. Ефимовка,  ул. 40 лет ВЛКСМ б/н;;;43,843206;46,796733;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хивский район;Село;Захит;МКОУ ЗАХИТСКАЯ СОШ ;Республика Дагестан, Хивский район, с. Захит, ул. Лезгинцева, 1;;;41,435125;48,221351;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Дербентский район;Село;Зидьян;МКОУ ЗИДЬЯНСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Зидьян;;;42,07804;48,156156;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Зильбачи;МКОУ ЗИЛЬБАЧИНСКАЯ СОШ ;Республика Дагестан, Дахадаевский район, с. Зильбачи;;;42,139292;47,718794;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хивский район;Село;Зильдик;МКОУ ЗИЛЬДИКСКАЯ ООШ ;Республика Дагестан, Хивский район, с. Зильдик;;;41,812848;47,990223;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Ахтынский район;Село;Зрых;МКОУ ЗРЫХСКАЯ СОШ ;Республика Дагестан, Ахтынский район, с. Зрых, ул. Школьная 1а;;;41,49575;47,55589;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Ицари;МКОУ ИВАН-КУТАНСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Ицари;;;42,086111;47,5575;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Гумбетовский район;Село;Игали;МКОУ ИГАЛИНСКАЯ СОШ ;Республика Дагестан, Гумбетовский район, с. Игали, ул. Школьная, 10;;;42,4302;46,3454;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Курахский район;Село;Икра;МКОУ ИКРИНСКАЯ СОШ ;Республика Дагестан, Курахский район с. Икра;;;41,564836;48,008084;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Ираки;МКОУ ИРАКИНСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Ираки;;;42,162474;47,71725;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Унцукульский район;Село;Ирганай;МКОУ Ирганайская СОШ ;Республика Дагестан, Унцукульский район, с. Ирганай;;;42,639639;46,934361;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Чародинский район;Село;Ириб;МКОУ ИРИБСКАЯ СОШ ;Республика Дагестан, Чародинский район, с. Ириб, ул. Школьная, 34;;;42,093107;46,485842;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Сулейман-Стальский район;Село;Ичин;МКОУ ИЧИНСКАЯ ООШ ;Республика Дагестан, Сулейман-стальский район, с. Ичин;;;41,682686;47,991389;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Цияб Ичичали;МКОУ ИЧИЧАЛИНСКАЯ СОШ ;Республика Дагестан, Хасавюртовский район, с. Цияб Ичичали, ул. Школьная, 35А;;;43,383695;46,616739;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Буйнакский район;Село;Ишкарты;МКОУ Ишкартынская СОШ ;Республика Дагестан, Буйнакский район, с. Ишкарты.;;;42,848057;46,968542;Общеобразовательная организация;Медь;5;ВОЛС;50.0
Буйнакский район;Село;Кадар;МКОУ Кадарская ООШ ;Республика Дагестан, Буйнакский район, с. Кадар, ул. Молодежная, д. 75;;;42,604;47,286;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Хасавюртовский район;Село;Казмааул;МКОУ КАЗМААУЛЬСКАЯ СОШ ;Республика Дагестан, Хасавюртовский район, с. Казмааул, ул. Школьная, 3;;;43,428955;46,764877;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Левашинский район;Село;Какамахи;МКОУ КАКАМАХИНСКАЯ СОШ  ;Республика Дагестан, Левашинский район с. Какамахи, ул. Школьная ,69;;;42,395904;47,306268;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Левашинский район;Село;Какамахи;МКОУ КАКАМАХИНСКАЯ СОШ ;Республика Дагестан, Левашинский район с. Какамахи, ул. Школьная ,69;;;42,395904;47,306268;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахтынский район;Село;с.Кака;МКОУ КАКИНСКАЯ СОШ ;Республика Дагестан, Ахтынский район, с. Кака;;;41,478333;47,636667;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Докузпаринский район;Село;Каладжух;МКОУ КАЛАДЖУХСКАЯ СОШ ;Республика Дагестан, Докузпаринский район, с. Каладжух, ул. С.Стальского, 33;;;41,214966;47,542552;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ногайский район;Село;Калининаул;МКОУ КАЛИНИНАУЛЬСКАЯ СОШ ;Республика Дагестан, Ногайский район, с. Калининаул, ул.Кадирбулатова 1;;;44,15998;45,996359;Общеобразовательная организация;Медь;1;ВОЛС;50.0
