,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
249,Дербентский район,Село,Джалган,МКОУ ООШ ИМ. Г.ДАВЫДОВОЙ ,"Республика Дагестан, Дербентский район, с. Джалган",512011527.0,,"42,016404","48,296034",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
250,Сулейман-Стальский район,Село,Ортастал,МКОУ ОРТАСТАЛЬСКАЯ СОШ ,"Республика Дагестан, Сулейман-стальский район, с. Орта-Стал, ул. Альдерова, 12",,,"41,702384","48,171194",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
251,Магарамкентский район,Село,Оружба,МКОУ ОРУЖБИНСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Оружба, ул. М.Ярагского, д. 10",523000654.0,,"41,774466","48,436652",Общеобразовательная организация,Другое,1.0,ВОЛС,50.0
252,Левашинский район,Село,Охли,МКОУ ОХЛИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Охли, ул. Хафиза Хаджи Омарова, д. 1",521010488.0,,"42,554195","47,206036",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
253,Дербентский район,Село,Падар,МКОУ ПАДАРСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Падар, ул. Центральная, 12/А",512027157.0,,"42,20207","48,05817",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
254,Карабудахкентский район,Село,Параул,МКОУ ПАРАУЛЬСКАЯ СОШ № 1 ,"Республика Дагестан, Карабудахкентский район, с. Параул, И.Устаза, 1",,,"42,737091","47,345777",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
255,Карабудахкентский район,Село,Параул,МКОУ ПАРАУЛЬСКАЯ СОШ № 3 ,"Республика Дагестан, Карабудахкентский район, с. Параул, ул. Параульская, 17",,,"42,8803","47,5501",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
256,Каякентский район,Село,Первомайское,МКОУ ПЕРВОМАЙСКАЯ ГИМНАЗИЯ ,"Республика Дагестан, Каякентский район, с. Первомайское, ул. Ленина, 74",515012688.0,,"42,4944","47,893",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
257,Каякентский район,Село,Первомайское,МКОУ ПЕРВОМАЙСКАЯ СОШ №1 ,"Республика Дагестан, Каякентский район, с. Первомайское, ул. Школьная, 82",515012670.0,,"42,4965","47,899",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
258,Каякентский район,Село,Первомайское,МКОУ Первомайская СОШ ,"Республика Дагестан, Каякентский район, с. Первомайское, ул. Школьная, 82",534029486.0,,"42,4965","47,899",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
259,Хасавюртовский район,Село,Петраковск,МКОУ ПЕТРАКОВСКАЯ СОШ ,"Республика Дагестан, Хасавюртовский район, с. Петраковск",534034990.0,,"43,252392","46,638176",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
260,Магарамкентский район,Село,Приморский,МКОУ ПРИМОРСКАЯ ООШ ,"Республика Дагестан, Магарамкентский район, с. Приморский, ул. Школьная, 3",523000260.0,,"41,846642","48,586484",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
261,Ботлихский район,Село,Рахата,МКОУ РАХАТИНСКАЯ СОШ ,"Республика Дагестан, Ботлихский район с. Рахата, ул. Имама Шамиля, д. 49",506005846.0,,"42,689192","46,146869",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
262,Агульский район,Село,Рича,МКОУ РИЧИНСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Рича, ",,,"41,454184","47,301445",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
263,Дахадаевский район,Село,Меусиша,МКОУ РТС-АУЛЬСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Меусиша",511003442.0,,"42,086111","47,5575",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
264,Дербентский район,Село,Рубас,МКОУ РУБАССКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Рубас, ул.Центральная, 89",,,"41,53","48,19",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
265,Дербентский район,Село,Рукель,МКОУ РУКЕЛЬСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Рукель",512011630.0,,"41,98597","48,228497",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
266,Табасаранский район,Село,Рушуль,МКОУ РУШУЛЬСКАЯ СОШ ,"Республика Дагестан, Табасаранский район, с. Рушуль, ул. Рушульская, 369А",530007883.0,,"41,573269","48,040312",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
267,Шамильский район,Село,Сомода,МКОУ С,"Республика Дагестан, Шамильский район, с. Сомода, ул Магомеда Тайгибова, 16",543012520.0,,"42,305992","46,53478",Общеобразовательная организация,Отсутствует,0.0,ВОЛС,50.0
268,Дербентский район,Село,Сабнова,МКОУ САБНАВИНСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Сабнова, ул. Школьная, 4",512011710.0,,"42,03564","48,152108",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
