Муниципальное образование;Тип населённого пункта;Наименование населенного пункта;Адрес учреждения;Широта;Долгота;Полное наименование учреждения;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с
Кизлярский район;Село;Большая Задоевка;Республика Дагестан, Кизлярский район, с. Большая Задоевка;43,866540;46,828781;"МОУ ""Большезадоевская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Бондареновка;Республика Дагестан, Кизлярский район, с. Бондареновка;43,915333;46,647704;"МОУ ""Бондареновская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Брянск;Республика Дагестан, Кизлярский район, с. Брянск;44,330083;46,983840;"МОУ ""Брянская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сергокалинский район;Село;Бурдеки;Республика Дагестан, Сергокалинский район, с. Бурдеки;42,305091;47,669722;"МОУ ""Бурдекинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сергокалинский район;Село;Бурхимахи;Республика Дагестан, Сергокалинский район, с. Бурхимахи;42,306321;47,585773;"МОУ ""Бурхимахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Бутри;Республика Дагестан, Акушинский район, с. Бутри;42,180973;47,427018;"МОУ ""Бутринская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Буцра;Республика Дагестан, Хунзахский район, с. Буцра;42,589885;46,768976;"МОУ ""Буцринская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сергокалинский район;Село;Ванашимахи;Республика Дагестан, Сергокалинский район, с. Ванашимахи;42,403461;47,607677;"МОУ ""Ванашимахинская СОШ им.С.Омарова""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Гаквари;Республика Дагестан, Цумадинский район, с. В-Гаквари;42,548307;46,033060;"МОУ ""Верхне- Гакваринская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Верхнее-лабкомахи;Республика Дагестан, Левашинский район с. Верхнее-лабкомахи;42,340911;47,435009;"МОУ ""Верхне-Лабкинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Верхнее-Убеки;Республика Дагестан, Левашинский район с. Верхнее-Убеки;42,366667;47,243333;"МОУ ""Верхне-Убекинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;В.Батлух;Республика Дагестан, Шамильский район, с. В.Батлух;42,496289;46,502297;"МОУ ""Верхнебатлухская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;В.Колоб;Республика Дагестан, Шамильский район, с. В.Колоб;42,426923;46,658840;"МОУ ""Верхнеколобская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Таловка;Республика Дагестан, Кизлярский район, с. Выше-Таловка;44,038872;46,730695;"МОУ ""Вышеталовская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Гакко;Республика Дагестан, Цумадинский район, с. Гакко;42,470455;45,882791;"МОУ ""Гаккойская ООШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Цунтинский район;Село;Гарбутль;Республика Дагестан, Цунтинский район, с. Гарбутль.;42,153445;46,218335;"МОУ ""Гарбутлинская СОШ""";Медь;1;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Гацалух;Республика Дагестан, Хунзахский район, с. Гацалух;42,593677;46,648700;"МОУ ""Гацалухская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Гиба;Республика Дагестан, Акушинский район, с. Гиба;42,216498;47,392896;"МОУ ""Гебинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Гельхен;Республика Дагестан, Курахский район, с. Гельхен;41,658485;47,602904;"МОУ ""Гельхенская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Гента;Республика Дагестан, Шамильский район, с. Гента;42,371747;46,560492;"МОУ ""Гентинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;с.з им. Гейреханова;Республика Дагестан, Сулейман-стальский район, с. с. З им. Гейреханова;41,704167;48,169722;"МОУ ""Герейхановская СОШ №1""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;с.з им. Гейреханова;Республика Дагестан, Сулейман-стальский район, с. с. З им. Гейреханова;41,583611;48,108889;"МОУ ""Герейханоская СОШ №2""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Герхмахи;Республика Дагестан, Акушинский район, с. Герхмахи;42,264353;47,530057;"МОУ ""Герхмахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Гигатли-Урух;Республика Дагестан, Цумадинский район, с. Гигатли-Урух;42,590941;46,142663;"МОУ ""Гигатли- Урухская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Гигатли;Республика Дагестан, Цумадинский район, с. Гигатли;42,582204;46,097624;"МОУ ""Гигатлинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Хасавюрт;Город;Хасавюрт;Республика Дагестан, г. Хасавюрт, ул. Лермонтова, 1;43,274352;46,583143;"МОУ ""Гимназия им.М.Горького""";Медь;20;"ПАО ""Ростелеком""";ВОЛС;100
